step,leg,toe_y,toe_z,hip_angle,knee_angle
0,FL,0.2737,0.1125,-2.1698,-2.0813
1,FL,0.2822,0.1033,-2.1721,-2.0892
2,FL,0.3019,0.1076,-2.1742,-2.0969
3,FL,0.3307,0.1274,-2.1762,-2.1044
4,FL,0.3597,0.1254,-2.1781,-2.1117
5,FL,0.3849,0.1464,-2.1799,-2.1187
6,FL,0.4137,0.1458,-2.1816,-2.1256
7,FL,0.4357,0.1672,-2.1831,-2.1322
8,FL,0.4643,0.1676,-2.1846,-2.1387
9,FL,0.4836,0.1891,-2.1860,-2.1450
10,FL,0.5068,0.2122,-2.1872,-2.1510
11,FL,0.5149,0.2544,-2.1884,-2.1569
12,FL,0.5345,0.2797,-2.1894,-2.1626
13,FL,0.5361,0.3196,-2.1904,-2.1681
14,FL,0.5524,0.3459,-2.1913,-2.1734
15,FL,0.5491,0.3824,-2.1920,-2.1785
16,FL,0.5523,0.4022,-2.1927,-2.1834
17,FL,0.5349,0.4292,-2.1933,-2.1882
18,FL,0.5356,0.4486,-2.1938,-2.1927
19,FL,0.5158,0.4717,-2.1942,-2.1971
20,FL,0.5144,0.4901,-2.1945,-2.2014
21,FL,0.4928,0.5089,-2.1947,-2.2054
22,FL,0.4896,0.5261,-2.1949,-2.2093
23,FL,0.4670,0.5404,-2.1949,-2.2130
24,FL,0.4623,0.5560,-2.1949,-2.2165
25,FL,0.4394,0.5659,-2.1948,-2.2198
26,FL,0.4337,0.5765,-2.1946,-2.2230
27,FL,0.4124,0.5795,-2.1943,-2.2260
28,FL,0.4077,0.5890,-2.1939,-2.2288
29,FL,0.3871,0.5888,-2.1935,-2.2315
30,FL,0.3820,0.5971,-2.1930,-2.2340
31,FL,0.3625,0.5939,-2.1923,-2.2364
32,FL,0.3574,0.6011,-2.1917,-2.2385
33,FL,0.3393,0.5951,-2.1909,-2.2406
34,FL,0.3342,0.6012,-2.1901,-2.2424
35,FL,0.3179,0.5929,-2.1891,-2.2441
36,FL,0.3144,0.5968,-2.1881,-2.2456
37,FL,0.3008,0.5854,-2.1871,-2.2470
38,FL,0.2977,0.5886,-2.1859,-2.2482
39,FL,0.2859,0.5762,-2.1847,-2.2492
40,FL,0.2834,0.5789,-2.1834,-2.2501
41,FL,0.2740,0.5666,-2.1821,-2.2508
42,FL,0.2726,0.5699,-2.1806,-2.2513
43,FL,0.2646,0.5568,-2.1791,-2.2517
44,FL,0.2635,0.5597,-2.1775,-2.2520
45,FL,0.2569,0.5461,-2.1759,-2.2520
46,FL,0.2562,0.5485,-2.1741,-2.2520
47,FL,0.2508,0.5345,-2.1724,-2.2517
48,FL,0.2505,0.5364,-2.1705,-2.2513
49,FL,0.2475,0.5260,-2.1686,-2.2507
50,FL,0.2483,0.5316,-2.1666,-2.2500
51,FL,0.2459,0.5209,-2.1645,-2.2491
52,FL,0.2465,0.5262,-2.1623,-2.2481
53,FL,0.2447,0.5153,-2.1601,-2.2469
54,FL,0.2452,0.5203,-2.1579,-2.2455
55,FL,0.2440,0.5091,-2.1555,-2.2440
56,FL,0.2444,0.5138,-2.1531,-2.2423
57,FL,0.2437,0.5024,-2.1506,-2.2405
58,FL,0.2441,0.5066,-2.1481,-2.2384
59,FL,0.2439,0.4949,-2.1455,-2.2363
60,FL,0.2443,0.4987,-2.1428,-2.2339
61,FL,0.2446,0.4868,-2.1400,-2.2314
62,FL,0.2450,0.4901,-2.1372,-2.2288
63,FL,0.2459,0.4779,-2.1343,-2.2260
64,FL,0.2463,0.4807,-2.1314,-2.2230
65,FL,0.2477,0.4681,-2.1283,-2.2198
66,FL,0.2483,0.4705,-2.1252,-2.2165
67,FL,0.2486,0.4649,-2.1221,-2.2130
68,FL,0.2477,0.4745,-2.1189,-2.2094
69,FL,0.2481,0.4683,-2.1156,-2.2055
70,FL,0.2472,0.4775,-2.1122,-2.2015
71,FL,0.2476,0.4708,-2.1088,-2.1974
72,FL,0.2468,0.4797,-2.1053,-2.1930
73,FL,0.2472,0.4725,-2.1017,-2.1885
74,FL,0.2464,0.4811,-2.0980,-2.1838
75,FL,0.2469,0.4733,-2.0943,-2.1790
76,FL,0.2462,0.4816,-2.0905,-2.1739
77,FL,0.2467,0.4733,-2.0867,-2.1687
78,FL,0.2460,0.4812,-2.0828,-2.1633
79,FL,0.2465,0.4725,-2.0787,-2.1577
80,FL,0.2459,0.4800,-2.0747,-2.1520
81,FL,0.2464,0.4708,-2.0705,-2.1460
82,FL,0.2459,0.4779,-2.0663,-2.1399
83,FL,0.2463,0.4682,-2.0620,-2.1335
84,FL,0.2459,0.4750,-2.0576,-2.1270
85,FL,0.2462,0.4648,-2.0531,-2.1203
86,FL,0.2459,0.4712,-2.0486,-2.1134
87,FL,0.2462,0.4605,-2.0440,-2.1063
88,FL,0.2459,0.4666,-2.0392,-2.0990
89,FL,0.2461,0.4554,-2.0344,-2.0914
90,FL,0.2459,0.4611,-2.0296,-2.0837
91,FL,0.2460,0.4494,-2.0246,-2.0758
92,FL,0.2459,0.4547,-2.0195,-2.0676
93,FL,0.2459,0.4425,-2.0144,-2.0592
94,FL,0.2459,0.4475,-2.0092,-2.0507
95,FL,0.2456,0.4352,-2.0038,-2.0418
96,RR,-0.2007,0.4511,-2.2456,-2.0832
97,RR,-0.2030,0.4445,-2.2482,-2.0914
98,RR,-0.2007,0.4537,-2.2507,-2.0994
99,RR,-0.2032,0.4466,-2.2531,-2.1072
100,RR,-0.2009,0.4555,-2.2554,-2.1148
101,RR,-0.2036,0.4480,-2.2575,-2.1222
102,RR,-0.2012,0.4564,-2.2595,-2.1293
103,RR,-0.2041,0.4485,-2.2615,-2.1363
104,RR,-0.2018,0.4565,-2.2633,-2.1430
105,RR,-0.2042,0.4477,-2.2650,-2.1496
106,RR,-0.2014,0.4550,-2.2666,-2.1559
107,RR,-0.2038,0.4455,-2.2681,-2.1621
108,RR,-0.2013,0.4525,-2.2695,-2.1681
109,RR,-0.2035,0.4425,-2.2708,-2.1739
110,RR,-0.2012,0.4490,-2.2719,-2.1795
111,RR,-0.2033,0.4384,-2.2730,-2.1849
112,RR,-0.2012,0.4445,-2.2740,-2.1901
113,RR,-0.2032,0.4332,-2.2749,-2.1952
114,RR,-0.2012,0.4388,-2.2757,-2.2000
115,RR,-0.2031,0.4270,-2.2764,-2.2047
116,RR,-0.2012,0.4321,-2.2770,-2.2092
117,RR,-0.2030,0.4203,-2.2775,-2.2136
118,RR,-0.2013,0.4256,-2.2779,-2.2177
119,RR,-0.2029,0.4133,-2.2782,-2.2217
120,RR,-0.2013,0.4180,-2.2785,-2.2255
121,RR,-0.2035,0.4136,-2.2786,-2.2292
122,RR,-0.2022,0.4262,-2.2787,-2.2326
123,RR,-0.2046,0.4214,-2.2786,-2.2359
124,RR,-0.2030,0.4333,-2.2785,-2.2391
125,RR,-0.2047,0.4278,-2.2783,-2.2420
126,RR,-0.2024,0.4389,-2.2780,-2.2448
127,RR,-0.2042,0.4329,-2.2776,-2.2475
128,RR,-0.2019,0.4434,-2.2772,-2.2499
129,RR,-0.2039,0.4369,-2.2766,-2.2523
130,RR,-0.2017,0.4469,-2.2760,-2.2544
131,RR,-0.2038,0.4399,-2.2753,-2.2564
132,RR,-0.2017,0.4492,-2.2745,-2.2582
133,RR,-0.2039,0.4418,-2.2736,-2.2598
134,RR,-0.2019,0.4506,-2.2726,-2.2613
135,RR,-0.2043,0.4426,-2.2716,-2.2627
136,RR,-0.2023,0.4510,-2.2705,-2.2638
137,RR,-0.2050,0.4425,-2.2693,-2.2648
138,RR,-0.2030,0.4503,-2.2680,-2.2657
139,RR,-0.2051,0.4409,-2.2666,-2.2664
140,RR,-0.2025,0.4479,-2.2652,-2.2669
141,RR,-0.2046,0.4380,-2.2637,-2.2673
142,RR,-0.2022,0.4446,-2.2621,-2.2675
143,RR,-0.2043,0.4341,-2.2605,-2.2676
144,RR,-0.2021,0.4403,-2.2587,-2.2674
145,RR,-0.2041,0.4292,-2.2569,-2.2672
146,RR,-0.2021,0.4349,-2.2550,-2.2668
147,RR,-0.2041,0.4232,-2.2531,-2.2662
148,RR,-0.2022,0.4285,-2.2510,-2.2654
149,RR,-0.2042,0.4162,-2.2489,-2.2645
150,RR,-0.2025,0.4211,-2.2467,-2.2635
151,RR,-0.2044,0.4081,-2.2445,-2.2622
152,RR,-0.2028,0.4126,-2.2421,-2.2608
153,RR,-0.2052,0.4074,-2.2397,-2.2593
154,RR,-0.2038,0.4198,-2.2373,-2.2576
155,RR,-0.2064,0.4142,-2.2347,-2.2557
156,RR,-0.2048,0.4260,-2.2321,-2.2537
157,RR,-0.2065,0.4196,-2.2294,-2.2515
158,RR,-0.2039,0.4305,-2.2266,-2.2491
159,RR,-0.2057,0.4236,-2.2238,-2.2466
160,RR,-0.2032,0.4340,-2.2209,-2.2439
161,RR,-0.2052,0.4266,-2.2179,-2.2411
162,RR,-0.2028,0.4365,-2.2148,-2.2381
163,RR,-0.2049,0.4287,-2.2117,-2.2349
164,RR,-0.2027,0.4379,-2.2085,-2.2316
165,RR,-0.2049,0.4297,-2.2052,-2.2280
166,RR,-0.2028,0.4385,-2.2018,-2.2244
167,RR,-0.2052,0.4299,-2.1984,-2.2205
168,RR,-0.2032,0.4382,-2.1949,-2.2165
169,RR,-0.2058,0.4292,-2.1913,-2.2123
170,RR,-0.2038,0.4370,-2.1877,-2.2079
171,RR,-0.2067,0.4277,-2.1839,-2.2034
172,RR,-0.2048,0.4351,-2.1801,-2.1987
173,RR,-0.2079,0.4254,-2.1763,-2.1938
174,RR,-0.2061,0.4324,-2.1723,-2.1887
175,RR,-0.2083,0.4222,-2.1683,-2.1834
176,RR,-0.2058,0.4281,-2.1642,-2.1780
177,RR,-0.2081,0.4168,-2.1600,-2.1724
178,RR,-0.2058,0.4226,-2.1557,-2.1666
179,RR,-0.2080,0.4132,-2.1514,-2.1606
180,RR,-0.2058,0.4210,-2.1470,-2.1544
181,RR,-0.2080,0.4111,-2.1425,-2.1480
182,RR,-0.2060,0.4186,-2.1379,-2.1415
183,RR,-0.2083,0.4083,-2.1332,-2.1347
184,RR,-0.2064,0.4154,-2.1284,-2.1277
185,RR,-0.2089,0.4046,-2.1236,-2.1206
186,RR,-0.2071,0.4114,-2.1187,-2.1132
187,RR,-0.2097,0.4016,-2.1137,-2.1056
188,RR,-0.2080,0.4096,-2.1086,-2.0978
189,RR,-0.2109,0.3994,-2.1034,-2.0899
190,RR,-0.2093,0.4069,-2.0981,-2.0816
191,RR,-0.2123,0.3963,-2.0927,-2.0732
192,FR,0.2341,0.4391,-2.3137,-2.0703
193,FR,0.2314,0.4285,-2.3167,-2.0789
194,FR,0.2333,0.4348,-2.3196,-2.0872
195,FR,0.2311,0.4235,-2.3224,-2.0953
196,FR,0.2334,0.4292,-2.3251,-2.1033
197,FR,0.2313,0.4173,-2.3276,-2.1109
198,FR,0.2335,0.4228,-2.3300,-2.1184
199,FR,0.2315,0.4167,-2.3323,-2.1257
200,FR,0.2336,0.4280,-2.3345,-2.1328
201,FR,0.2315,0.4215,-2.3366,-2.1397
202,FR,0.2337,0.4322,-2.3386,-2.1463
203,FR,0.2313,0.4253,-2.3404,-2.1528
204,FR,0.2335,0.4354,-2.3422,-2.1591
205,FR,0.2319,0.4280,-2.3438,-2.1652
206,FR,0.2347,0.4374,-2.3453,-2.1711
207,FR,0.2330,0.4295,-2.3468,-2.1768
208,FR,0.2355,0.4385,-2.3481,-2.1824
209,FR,0.2338,0.4302,-2.3493,-2.1877
210,FR,0.2361,0.4388,-2.3504,-2.1929
211,FR,0.2344,0.4300,-2.3514,-2.1979
212,FR,0.2365,0.4382,-2.3523,-2.2027
213,FR,0.2347,0.4290,-2.3532,-2.2073
214,FR,0.2367,0.4368,-2.3539,-2.2118
215,FR,0.2348,0.4272,-2.3545,-2.2161
216,FR,0.2366,0.4345,-2.3550,-2.2202
217,FR,0.2348,0.4245,-2.3555,-2.2242
218,FR,0.2365,0.4315,-2.3558,-2.2279
219,FR,0.2345,0.4209,-2.3560,-2.2315
220,FR,0.2361,0.4276,-2.3562,-2.2350
221,FR,0.2341,0.4165,-2.3562,-2.2382
222,FR,0.2356,0.4229,-2.3562,-2.2413
223,FR,0.2348,0.4112,-2.3561,-2.2443
224,FR,0.2372,0.4174,-2.3558,-2.2470
225,FR,0.2368,0.4051,-2.3555,-2.2496
226,FR,0.2391,0.4111,-2.3551,-2.2521
227,FR,0.2382,0.4044,-2.3546,-2.2544
228,FR,0.2396,0.4157,-2.3541,-2.2565
229,FR,0.2386,0.4086,-2.3534,-2.2584
230,FR,0.2399,0.4194,-2.3527,-2.2602
231,FR,0.2388,0.4119,-2.3518,-2.2618
232,FR,0.2400,0.4221,-2.3509,-2.2633
233,FR,0.2389,0.4143,-2.3499,-2.2646
234,FR,0.2401,0.4239,-2.3488,-2.2658
235,FR,0.2389,0.4158,-2.3476,-2.2668
236,FR,0.2400,0.4249,-2.3464,-2.2676
237,FR,0.2387,0.4165,-2.3450,-2.2683
238,FR,0.2398,0.4251,-2.3436,-2.2688
239,FR,0.2385,0.4164,-2.3421,-2.2691
240,FR,0.2395,0.4246,-2.3405,-2.2693
241,FR,0.2380,0.4155,-2.3388,-2.2693
242,FR,0.2390,0.4234,-2.3371,-2.2692
243,FR,0.2374,0.4140,-2.3353,-2.2689
244,FR,0.2384,0.4215,-2.3333,-2.2685
245,FR,0.2375,0.4118,-2.3313,-2.2679
246,FR,0.2392,0.4192,-2.3293,-2.2671
247,FR,0.2385,0.4091,-2.3271,-2.2662
248,FR,0.2400,0.4163,-2.3249,-2.2651
249,FR,0.2394,0.4058,-2.3226,-2.2638
250,FR,0.2408,0.4128,-2.3202,-2.2624
251,FR,0.2400,0.4034,-2.3177,-2.2608
252,FR,0.2410,0.4115,-2.3152,-2.2591
253,FR,0.2401,0.4018,-2.3125,-2.2572
254,FR,0.2411,0.4095,-2.3098,-2.2552
255,FR,0.2402,0.3995,-2.3071,-2.2529
256,FR,0.2412,0.4070,-2.3042,-2.2506
257,FR,0.2404,0.3976,-2.3012,-2.2480
258,FR,0.2414,0.4053,-2.2982,-2.2453
259,FR,0.2405,0.3949,-2.2951,-2.2424
260,FR,0.2414,0.4024,-2.2920,-2.2394
261,FR,0.2408,0.3929,-2.2887,-2.2362
262,FR,0.2418,0.4012,-2.2854,-2.2328
263,FR,0.2412,0.3913,-2.2820,-2.2292
264,FR,0.2421,0.3994,-2.2785,-2.2255
265,FR,0.2415,0.3891,-2.2749,-2.2216
266,FR,0.2424,0.3969,-2.2713,-2.2176
267,FR,0.2411,0.3878,-2.2675,-2.2133
268,FR,0.2413,0.3970,-2.2637,-2.2089
269,FR,0.2405,0.3878,-2.2598,-2.2043
270,FR,0.2412,0.3967,-2.2559,-2.1996
271,FR,0.2404,0.3871,-2.2518,-2.1946
272,FR,0.2411,0.3957,-2.2477,-2.1895
273,FR,0.2402,0.3858,-2.2435,-2.1842
274,FR,0.2408,0.3940,-2.2392,-2.1787
275,FR,0.2398,0.3837,-2.2348,-2.1730
276,FR,0.2405,0.3916,-2.2303,-2.1671
277,FR,0.2397,0.3836,-2.2258,-2.1611
278,FR,0.2405,0.3939,-2.2211,-2.1548
279,FR,0.2396,0.3856,-2.2164,-2.1484
280,FR,0.2404,0.3955,-2.2116,-2.1418
281,FR,0.2395,0.3868,-2.2067,-2.1349
282,FR,0.2402,0.3963,-2.2017,-2.1279
283,FR,0.2392,0.3873,-2.1966,-2.1207
284,FR,0.2399,0.3964,-2.1915,-2.1132
285,FR,0.2389,0.3871,-2.1862,-2.1056
286,FR,0.2396,0.3959,-2.1808,-2.0977
287,FR,0.2384,0.3861,-2.1754,-2.0896
288,RL,-0.1970,0.4204,-2.3732,-2.0425
289,RL,-0.1979,0.4110,-2.3767,-2.0514
290,RL,-0.1968,0.4181,-2.3800,-2.0601
291,RL,-0.1979,0.4087,-2.3832,-2.0686
292,RL,-0.1969,0.4159,-2.3863,-2.0769
293,RL,-0.1968,0.4064,-2.3893,-2.0850
294,RL,-0.1948,0.4137,-2.3921,-2.0928
295,RL,-0.1953,0.4062,-2.3948,-2.1004
296,RL,-0.1943,0.4155,-2.3974,-2.1079
297,RL,-0.1948,0.4078,-2.3999,-2.1151
298,RL,-0.1938,0.4167,-2.4022,-2.1221
299,RL,-0.1942,0.4087,-2.4045,-2.1289
300,RL,-0.1933,0.4172,-2.4066,-2.1355
301,RL,-0.1938,0.4089,-2.4086,-2.1420
302,RL,-0.1929,0.4171,-2.4105,-2.1482
303,RL,-0.1934,0.4085,-2.4123,-2.1543
304,RL,-0.1926,0.4164,-2.4140,-2.1601
305,RL,-0.1931,0.4075,-2.4155,-2.1658
306,RL,-0.1923,0.4151,-2.4170,-2.1713
307,RL,-0.1928,0.4058,-2.4184,-2.1766
308,RL,-0.1920,0.4132,-2.4196,-2.1817
309,RL,-0.1917,0.4037,-2.4207,-2.1867
310,RL,-0.1903,0.4111,-2.4218,-2.1915
311,RL,-0.1897,0.4012,-2.4227,-2.1961
312,RL,-0.1884,0.4084,-2.4236,-2.2005
313,RL,-0.1889,0.4004,-2.4243,-2.2048
314,RL,-0.1887,0.4096,-2.4249,-2.2088
315,RL,-0.1892,0.4013,-2.4255,-2.2128
316,RL,-0.1890,0.4101,-2.4259,-2.2165
317,RL,-0.1895,0.4015,-2.4262,-2.2201
318,RL,-0.1893,0.4100,-2.4265,-2.2235
319,RL,-0.1898,0.4011,-2.4266,-2.2267
320,RL,-0.1896,0.4093,-2.4267,-2.2298
321,RL,-0.1889,0.4004,-2.4266,-2.2327
322,RL,-0.1875,0.4087,-2.4265,-2.2354
323,RL,-0.1866,0.3995,-2.4262,-2.2380
324,RL,-0.1854,0.4075,-2.4259,-2.2404
325,RL,-0.1842,0.3979,-2.4255,-2.2427
326,RL,-0.1831,0.4057,-2.4250,-2.2448
327,RL,-0.1818,0.3957,-2.4243,-2.2467
328,RL,-0.1808,0.4033,-2.4236,-2.2485
329,RL,-0.1793,0.3929,-2.4229,-2.2501
330,RL,-0.1783,0.4003,-2.4220,-2.2515
331,RL,-0.1781,0.3918,-2.4210,-2.2528
332,RL,-0.1787,0.4012,-2.4199,-2.2540
333,RL,-0.1786,0.3924,-2.4188,-2.2549
334,RL,-0.1791,0.4014,-2.4175,-2.2557
335,RL,-0.1790,0.3923,-2.4162,-2.2564
336,RL,-0.1795,0.4011,-2.4148,-2.2569
337,RL,-0.1793,0.3916,-2.4133,-2.2572
338,RL,-0.1798,0.4001,-2.4117,-2.2574
339,RL,-0.1797,0.3903,-2.4100,-2.2574
340,RL,-0.1801,0.3985,-2.4082,-2.2572
341,RL,-0.1796,0.3884,-2.4064,-2.2569
342,RL,-0.1797,0.3964,-2.4044,-2.2564
343,RL,-0.1791,0.3859,-2.4024,-2.2558
344,RL,-0.1792,0.3937,-2.4003,-2.2550
345,RL,-0.1784,0.3828,-2.3981,-2.2541
346,RL,-0.1783,0.3905,-2.3958,-2.2530
347,RL,-0.1774,0.3792,-2.3935,-2.2517
348,RL,-0.1772,0.3866,-2.3910,-2.2502
349,RL,-0.1774,0.3781,-2.3885,-2.2486
350,RL,-0.1785,0.3884,-2.3859,-2.2469
351,RL,-0.1788,0.3796,-2.3832,-2.2450
352,RL,-0.1797,0.3895,-2.3804,-2.2429
353,RL,-0.1801,0.3804,-2.3775,-2.2406
354,RL,-0.1809,0.3900,-2.3745,-2.2382
355,RL,-0.1813,0.3806,-2.3715,-2.2356
356,RL,-0.1821,0.3899,-2.3684,-2.2329
357,RL,-0.1826,0.3801,-2.3652,-2.2300
358,RL,-0.1832,0.3890,-2.3619,-2.2269
359,RL,-0.1836,0.3789,-2.3585,-2.2236
360,RL,-0.1840,0.3876,-2.3550,-2.2202
361,RL,-0.1845,0.3771,-2.3515,-2.2166
362,RL,-0.1848,0.3855,-2.3478,-2.2128
363,RL,-0.1837,0.3750,-2.3441,-2.2089
364,RL,-0.1827,0.3837,-2.3403,-2.2048
365,RL,-0.1815,0.3728,-2.3364,-2.2005
366,RL,-0.1806,0.3811,-2.3325,-2.1960
367,RL,-0.1792,0.3698,-2.3284,-2.1914
368,RL,-0.1784,0.3778,-2.3243,-2.1865
369,RL,-0.1774,0.3671,-2.3200,-2.1815
370,RL,-0.1773,0.3759,-2.3157,-2.1763
371,RL,-0.1762,0.3646,-2.3113,-2.1710
372,RL,-0.1761,0.3731,-2.3068,-2.1654
373,RL,-0.1750,0.3614,-2.3022,-2.1596
374,RL,-0.1749,0.3696,-2.2975,-2.1537
375,RL,-0.1755,0.3604,-2.2928,-2.1476
376,RL,-0.1770,0.3712,-2.2879,-2.1412
377,RL,-0.1776,0.3617,-2.2829,-2.1347
378,RL,-0.1790,0.3720,-2.2779,-2.1280
379,RL,-0.1797,0.3621,-2.2728,-2.1210
380,RL,-0.1809,0.3722,-2.2675,-2.1139
381,RL,-0.1818,0.3619,-2.2622,-2.1065
382,RL,-0.1829,0.3715,-2.2568,-2.0990
383,RL,-0.1838,0.3609,-2.2512,-2.0912
